개방서비스명,영업상태명,폐업년도,폐업일자,위치,도로명전체주소,사업장명
썰매장업,폐업,2017,20170321,경상,경상남도 고성군 회화면 당항만로 1116,고성 팡팡눈썰매 페스티벌
썰매장업,폐업,2019,20190820,대전,대전광역시 유성구 가정로 120 (신성동),유성구 어린이 물썰매장
썰매장업,폐업,2019,20190831,경상,경상북도 구미시 낙동제방길 200 (양호동),구미시낙동강야외물놀이장(썰매장)
썰매장업,폐업,2019,20191010,인천,"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",문학워터파크
썰매장업,폐업,2016,20160217,경기,"경기도 고양시 일산서구 한류월드로 408 (대화동, 킨텍스제1전시장 1홀)",상상체험 키즈월드 실내썰매
썰매장업,폐업,2016,20160411,경기,"경기도 고양시 일산서구 한류월드로 408 (대화동, 킨텍스제2전시장 9B홀)",청개구리
썰매장업,폐업,2018,20180502,경기,경기도 고양시 일산서구 킨텍스로 217-60 (대화동),상상체험 키즈월드 실내썰매 시즌6
썰매장업,폐업,2017,20170309,경기,"경기도 고양시 일산서구 한류월드로 408 (대화동, 원마운트)",상상체험 키즈월드 실내썰매 시즌4
썰매장업,폐업,2016,20160822,경기,"경기도 고양시 일산서구 킨텍스로 217-60 (대화동, 킨텍스1전시장 1홀)",상상체험 키즈월드 실내썰매 시즌3
썰매장업,폐업,2016,20161216,전라,전라남도 영광군 백수읍 백수로 1057,영광테마파크
썰매장업,폐업,2017,20170323,전라,전라북도 고창군 고창읍 석정2로 207-46,(주)서울시니어스 엠앤에스 고창
썰매장업,폐업,2019,20190721,전라,전라북도 정읍시 산내면 산호수길 228,로하스 영농조합법인 눈썰매장
썰매장업,폐업,2019,20190226,경기,"경기도 부천시 소사로 482, 부천종합운동장,국궁장,체육관 (춘의동)",부천종합운동장 눈썰매장(콤마156 주식회사)
썰매장업,폐업,2019,20190224,서울,"서울특별시 도봉구 도봉로168길 30, 성균관대학교종합운동장 (도봉동)",도봉튜빙눈썰매장
썰매장업,폐업,2020,20201105,충청,충청남도 천안시 동남구 성남면 종합휴양지로 200,오션어드벤처 썰매장
썰매장업,폐업,2019,20191210,충청,충청남도 예산군 덕산면 윤봉길로 366-11,삼원레저타운
썰매장업,폐업,2017,20170321,충청,충청남도 당진시 신평면 서해안고속도로 276 (모다아울렛),행담도 눈썰매 축제
썰매장업,폐업,2016,20160104,강원,강원도 정선군 고한읍 소두문동길 106,고한눈썰매장
썰매장업,폐업,2018,20180129,강원,강원도 정선군 고한읍 고한7길 348,(주)강원랜드
썰매장업,폐업,2018,20180315,경상,"경상남도 김해시 인제로 368 (삼방동, 가야랜드)",가야랜드 눈썰매장
